Route Code,Fly along
SGMN-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SGMN-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
SGM-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA
SGM-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT
SG-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
SG-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
SARIN-VHHH,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
BISUN-TEBAK,BISUN B451 WQG G341 TGO G212 BUMDU W47 ASAVA W45 NUPTI R343 WUY R474 TEBAK
SARIN-TEBUS,SARIN A368 FKG G588 TEBUS
SARIN-SAGAG,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 UBKER G212 SGM A581 SAGAG  
GOLOT-TEBAK,GOLOT A345 BIDIB A575 CHG G332 MUDAM G212 BUMDU W47 ASAVA W45 NUPTI R343 WUY R474 TEBAK
SARIN-LINSO,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 UBKER G212 SGM A599 LINSO
SARIN-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
SARIN-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
SARIN-G470-SAGAG,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 UBKER G212 SGM A581 SAGAG
GOPTO-TEBAK,GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 SJG W2 LBN R343 WUY R474 TEBAK
SARIN-AGAVO,SARIN A368 FKG W188 GOVSA W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
SAGAG-Y1-RULAD,SAGAG A581 SGM W144 IGNAK W179 OMBON Y1 SADAN L888 XKC A460 RULAD
SAGAG-SARIN,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 GOBIN W66 NUKTI B215 FKG A368 SARIN
INTIK-TEBAK,INTIK W32 HET B208 SQ W45 NUPTI R343 WUY R474 TEBAK
SAGAG-SADLI,SAGAG A581 WHA R343 PK W116 JTN G327 LAMEN A593 SADLI
SAGAG-RULAD,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 GOBIN W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD
SAGAG-NIXAL,SAGAG A581 SGM W144 IGNAK W179 WFX W81 NSH G212 AVKES W175 TYN B208 NIXAL
SAGAG-MORIT,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 MORIT
SAGAG-L888-RULAD,SAGAG A581 BIDRU L888 XKC A460 RULAD
SAGAG-L888-PURPA,SAGAG A581 BIDRU L888 NOLEP W112 PURPA
SAGAG-KAMUD,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 TODOD W112 TUSLI W187 SADAN W186 KAMUD
SIKOU-SARIN,SIKOU R339 BSE A599 SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
SAGAG-G470-SARIN,SAGAG A581  SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
SADLI-WHA-LINSO,SADLI A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 IDGAG A581 QNX W136 XISLI A581 SGM A599 LINSO
SADLI-VMMC,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 MABAG W20 NOLON W90 POU W7 SAREX W6 LATOP
SADLI-VHHH,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA
SADLI-TAMOT,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT
SADLI-SAGAG,SADLI A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 IDGAG A581 QNX W136 XISLI A581 SAGAG
SADLI-RULAD,SADLI A593 DALIM W157 VYK G212 SOTMU B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD
SADLI-NIXAL,SADLI A593 PK R343 HFE B208 NIXAL
SADLI-MAGOG,SADLI A593 PUD A599 NXD W131 AKDIM A470 MAGOG
SADLI-M503-MAGOG,SADLI A593 DUMET W114 LASAN W13 BEGMO M503 LAPUG R200 BEBEM A470 MAGOG
SADLI-LINSO,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 LINSO
SADLI-INTIK,SADLI A593 PK R343 HFE B208 HET W32 INTIK
MAGIT-TEBAK,MAGIT R213 JMU G212 BUMDU W47 ASAVA W45 NUPTI R343 WUY R474 TEBAK
RULAD-Y1-VHHH,RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA
RULAD-Y1-TAMOT,RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT
RULAD-Y1-SAGAG,RULAD A460 XKC L888 SADAN Y1 OMBON B330 UBKER G212 SGM A581 SAGAG
RULAD-VMMC,RULAD A343 POSOT B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU W7 SAREX W6 LATOP
RULAD-VHHH,RULAD A343 POSOT B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
RULAD-TEBUS,RULAD A343 POSOT B215 FKG G588 TEBUS
RULAD-TAMOT,RULAD A343 POSOT B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT
RULAD-SAGAG,RULAD A343 POSOT B215 FKG W188 GOVSA W66 GOBIN B330 UBKER G212 SGM A581 SAGAG
RULAD-SADLI,RULAD A343 POSOT B215 FKG W188 GOVSA W66 DKO W69 HUR B339 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 PK W116 JTN G327 LAMEN A593 SADLI
RULAD-PURPA,RULAD A460 EXURU W119 LESVI B215 PURPA
RULAD-LINSO,RULAD A343 POSOT B215  FKG  W192 ESDEX W191 DNC W565 XIXAN B330 UBKER G212 SGM  A599 LINSO
RULAD-L888-VHHH,RULAD A460 XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU R473 SIERA
RULAD-L888-TAMOT,RULAD A460 XKC L888 BIGOR W9 CZH B213 CTU W237 IDBOR B330 KWE W181 DUDIT A599 POU B330 TAMOT
RULAD-L888-SAGAG,RULAD A460 XKC L888 BIDRU A581 SAGAG
RULAD-G470-VHHH,RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
NIXAL-TEBAK,NIXAL B208 SQ W45 NUPTI R343 WUY R474 TEBAK
RULAD-G470-TAMOT,RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
RULAD-G470-SAGAG,RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 UBKER G212 SGM A581 SAGAG
RULAD-AGAVO,RULAD A343 POSOT B215 FKG W188 GOVSA W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
PURPA-W112-VHHH,PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
PURPA-W112-SAGAG,PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 GOBIN B330 UBKER G212 SGM A581 SAGAG
PURPA-W112-AGAVO,PURPA W112 TUSLI W187 IBANO B215 NUKTI W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
PURPA-RULAD,PURPA B215 XKC A460 RULAD
PURPA-L888-SAGAG,PURPA W112 NOLEP L888 BIDRU A581 SAGAG
PURPA-GOPTO,PURPA B215 FKG G588 NIRAV B206 GOPTO
POLHO-VHHH,POLHO G218 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
POLHO-AGAVO,POLHO W33 UKDUM W201 UNSEK A326 DONVO G597 AGAVO
