Route Code,Departure AD,Fly along,
GOPTO-ZGSZ-02,ELLX,GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU W7 SAREX W6 NLG W509 KEVAR,
GOPTO-ZPPP-01,LFAT LFPB LFPG LFPO,GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 UBKER G212 SGM,
GOPTO-ZUUU-01,LFAT LFPB LFPG LFPO,GOPTO B206 NIRAV G588 FKG W192 ESDEX W191 DNC W565 XIXAN B330 MEXAD,
GOPTO-ZUUU-02,LFAT LFPB LFPG LFPO,GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 MEXAD,
GOPTO-ZWWW-01,PAED PANC UNBB UNNT UNOO,GOPTO B206 ADPET W190 QTV W99 FKG B215 WUR,
INTIK-ZBAA-01,DAAA DAAG EBBR EBCI EDDB EDDF EDDL EDDM EDDT EDDV EDFH EFHK EGAE EGCC EGGW EGKK EGLL EGPF EGPH EGSS EHAM EIDW EKCH EKRK ELLX ENFB ENGM EPWA ESKN ESOW ESSA ESSB HLLT KBHM KEWR KJFK KLGA LEBL LEMD LETO LEZG LFAT LFMN LFPB LFPG LFPO LGAV LHBP LIMB LIMC LIML LIPZ LIRA LIRF LKPR LOWW LPPT LRBS LROP LSGG LSZH LYBE LYBT UAAA UACC UHPP UIII UIUU UKBB UKBU UKKK UKKM ULLI UMMS UNKL UNNT UNOO URKK URSS USCC USSS UUBW UUDD UUEE UUMO UUWW UWUU ZMUB,INTIK A575 LHT B458 BIKUT W69 GUVBA,
INTIK-ZBAD-01,EDDF EFHK EGAE EGGW EGKK EGLL EGSS EHAM EPWA GMMN LFAT LFPB LFPG LFPO LPPT LSZH LTBA LTFJ UIII UIUU ULLI UNKL UNNT USSS UUDD UUEE UUMO UUWW ZMUB,INTIK A575 LHT B458 TMR W65 TUSLA W64 ELAPU,
INTIK-ZBDS-01,UIII,INTIK W32 HET W84 TOREL W69 DUDIL W101 ALGOV,
INTIK-ZBHH-01,EPWA UIII UMMS UUDD UUEE UUMO UUWW ZMUB,INTIK A575 LHT B458 TMR,
INTIK-ZBSJ-01,UIII UIUU UNKL,INTIK W32 HET B208 TYN W87 PARTU G212 TONOV,
INTIK-ZBTJ-01,EBBR EBCI EBLG EDDF EDDM EDFH EETN EGAE EGCC EGGW EGKK EGLL EGSS EHAM EKCH EKRK ELLX ESKN ESOW ESSA ESSB EYKA LEMD LETO LEZG LFAT LFBO LFPB LFPG LFPO LIBD LIMB LIMC LIML LOWW UACC UIBB UIII UKBB UKBU UKKK UKKM UNBB UNKL UNNT USSS UUDD UUEE UUMO UUWW UWLW UWUU UWWW ZMUB,INTIK A575 LHT B458 BIKUT W69 GUVBA,
INTIK-ZGSZ-01,UIII,INTIK A575 LHT B458 DADGA W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 NLG W509 KEVAR,
INTIK-ZLXY-01,UIII,INTIK W32 HET W84 IBARO W47 LOVRA,
INTIK-ZSNJ-01,UIII,INTIK W32 HET B208 CGO W129 KAMDA W128 FYG B208 HFE W51 LEGIV W164 OREVO,
INTIK-ZYCC-01,EDDF,INTIK A575 LHT B458 TMR W86 KAKAT B334 TGO G341 BUTET,
INTIK-ZYTX-01,UUBW UUDD UUEE UUMO UUWW UWUU,INTIK A575 OMDUS,
KAMUD-ZBAA-01,FNLU HSSS LLBG OIIE OIII OTBD OTHH UAFF UAFO UAFU UBBB UCFM UTAA UTDD UTTT,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W69 GUVBA,
KAMUD-ZBAD-01,OMDB OMDW UTTT,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W64 ELAPU,
KAMUD-ZBTJ-01,UAFO UTSA UTTT,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W69 GUVBA,
KAMUD-ZGGG-01,EBLG OIIE OIII UTDD UTSA UTTT,KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 GYA,
KAMUD-ZLIC-01,OMDB OMDW,KAMUD A468 XKC B215 FKG W188 GOVSA W66 GOBIN B330 YBL W199 YHD,
KAMUD-ZLXY-01,UAFF UAFU UCFM UTDD UTTT,KAMUD W186 SADAN W187 TUSLI W112 VIKUP W191 DNC W565 XIXAN W214 HO,
KAMUD-ZSAM-01,UBBB,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W69 HUR B339 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 AMURI,
